OverallRating,Comment,FeedbackCategory,Subcategory
3,He then calls and is on the phone for over 30 minutes. Please email me,Uncategorized,Customer Service Interaction
4, I emailed last year and sat on hold for a time to talk to a Rep about this,Uncategorized,Customer Service Interaction
2,"Everytime I chat with someone, they end the chat before I can even respond. It is very frustrating. It happened just now with Yvonne and has happened each time I have chatted with someone on several occasions. They tell me their solution and then just end the chat. They don't even ask if there is anything else I need, or even provide a normal response time for me to respond each time they send a response or question to me. Can you please relay this along as customer service is getting a bad rep for this.",Uncategorized,Customer Service Interaction
2," The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers I've been teaching 15 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",Uncategorized,Customer Service Interaction
3,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,Uncategorized,Customer Service Interaction
3,"When I tried the chat feature for help, the session timed out and I never got help.",Uncategorized,Customer Service Interaction
3,"I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",Uncategorized,Customer Service Interaction
5,Trying to make a payment,Uncategorized,General/Unspecified
2, I have a credit that I can't use.,Uncategorized,General/Unspecified
1,My shipping and payment page does not display the payment method or information necessary to make a payment.,Uncategorized,General/Unspecified
5,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,Uncategorized,General/Unspecified
1,I s till do not know how to submit an order with money brought to me by a student that is in cash - I have to pay out of pocket up front for this?,Uncategorized,General/Unspecified
4,Also tough to gain access to the visa funds I had from last year.,Uncategorized,General/Unspecified
4,Where do I mail my payment,Uncategorized,General/Unspecified
3,Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,Uncategorized,General/Unspecified
5,"I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily",Uncategorized,General/Unspecified
4,I've struggled for years with the cc payment method on this site. Mostly around saving a cc/adding a new cc.,Uncategorized,General/Unspecified
4,I had to put in my card info a couple of times before it would accept it I had to enter things in a certain order.,Uncategorized,General/Unspecified
3, you have to pay tax.,Uncategorized,Tax
4,I wish you would not charge tax (just have it already added in the book price). Also I miss getting a receipt with my order.,Uncategorized,Tax
4,Couldn't figure out how to order the free book,Bonus Points/Rewards/Promos,General/Unspecified
5,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",Bonus Points/Rewards/Promos,General/Unspecified
2,entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.,Bonus Points/Rewards/Promos,General/Unspecified
4,Lost all my Bonus Points.  sad...,Bonus Points/Rewards/Promos,General/Unspecified
4,Discount code did not work,Bonus Points/Rewards/Promos,General/Unspecified
4,A little difficult to apply a coupon and use it- but I figured it out.,Bonus Points/Rewards/Promos,General/Unspecified
5, I DO wish that when I chose my free $5.00 book that I would have been given the option to choose the book,Bonus Points/Rewards/Promos,General/Unspecified
3,I couldn't find the place to select my $10 in free books :(,Bonus Points/Rewards/Promos,General/Unspecified
3,Promo code did not work for the $25.00 order and get a free $5 book. ,Bonus Points/Rewards/Promos,General/Unspecified
1,was trying to find my Bonus Points #.    I  want to know IF I can transfer my balance of points to another Teacher  at a different school.  I am retiring & dont need them.,Bonus Points/Rewards/Promos,General/Unspecified
4,I wanted to use bonus points to buy a book but the system charged instead of using the bonus points. I ended up deleting the book.  Hopefully I can order it with the bonus points next month.,Bonus Points/Rewards/Promos,General/Unspecified
3,"the promotion code,advertised all over the site is not working",Bonus Points/Rewards/Promos,General/Unspecified
5,Would not let me enter free book selection on a $176.00 order.,Bonus Points/Rewards/Promos,General/Unspecified
1,  What are thee bonus points for?,Bonus Points/Rewards/Promos,General/Unspecified
5,"Just wondering if parents could be prompted to select a free book when their order is over $25.  I have a family that earned a free book, but didn't make a selection.  It would be nice if they could be prompted for these rewards just like teacher's have on their checkout page.",Bonus Points/Rewards/Promos,General/Unspecified
1,signing up i did not get points or neither did the person who shared. ,Bonus Points/Rewards/Promos,General/Unspecified
1,I have just placed my last order with your company.  You failed to honor your advertised rewards for teachers when students place orders.  ,Bonus Points/Rewards/Promos,General/Unspecified
2,It would not let me spend the $5 in free books. ,Bonus Points/Rewards/Promos,General/Unspecified
1,I am frankly disgusted by Scholastic's false promises of free books for teachers.  I am far to busy to waste my time on nonsense.  I will inform my classroom parents that Scholastic has repeatedly failed to uphold its promises to reward teachers with free books for student purchase,Bonus Points/Rewards/Promos,General/Unspecified
4,I wish there are more and better options in the Bonus Catalog.,Bonus Points/Rewards/Promos,General/Unspecified
5,Love all the opportunites to earn extra points and books!  I like when you send birthday or bonus in the summer.,Bonus Points/Rewards/Promos,General/Unspecified
4,Yesterday I submitted a student online order and mailed a student order and today I had another student online order. Since my orders were submitted on different days I was not able to receive any bonus points or rewards. Is there any way to get those credits?,Bonus Points/Rewards/Promos,General/Unspecified
3,"I entered a discount code as offered and instructed, but it did not take.",Bonus Points/Rewards/Promos,General/Unspecified
2,"Also, I lose out on bonus points and book picks!",Bonus Points/Rewards/Promos,General/Unspecified
4,"When used the promotion ""READS"" to get a free book for an order over $25, I was unable",Bonus Points/Rewards/Promos,General/Unspecified
