OverallRating,Comment,FeedbackCategory,Subcategory
3,He then calls and is on the phone for over 30 minutes. Please email me,Uncategorized,Customer Service Interaction
4, I emailed last year and sat on hold for a time to talk to a Rep about this,Uncategorized,Customer Service Interaction
2,"Everytime I chat with someone, they end the chat before I can even respond. It is very frustrating. It happened just now with Yvonne and has happened each time I have chatted with someone on several occasions. They tell me their solution and then just end the chat. They don't even ask if there is anything else I need, or even provide a normal response time for me to respond each time they send a response or question to me. Can you please relay this along as customer service is getting a bad rep for this.",Uncategorized,Customer Service Interaction
2," The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers I've been teaching 11 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",Uncategorized,Customer Service Interaction
3,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,Uncategorized,Customer Service Interaction
3,"When I tried the chat feature for help, the session timed out and I never got help.",Uncategorized,Customer Service Interaction
3,"I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",Uncategorized,Customer Service Interaction
3,"I ordered some books for my younger son because his teacher sent home a book order. Today, my younger son came home with his book order, but my older son did not. My older son's order still just says ""Submitted to teacher."" Is there something else that I need to do?",Uncategorized,Delayed/Never Received Order
1,I was searching for the book order that I made for my son early in the year (2020 - 2021) . I have never received this order or an explanation as to why not. I will make no future purchases.,Uncategorized,Delayed/Never Received Order
3,"on 9-9 I submitted orders for Emery and Alcie.  Alcies ordered was delivered today, But   Emerys was not",Uncategorized,Delayed/Never Received Order
3,"Had been calling to clarify my order. Still missing a book I ordered back on May 20, 2022. ",Uncategorized,Delayed/Never Received Order
1,I am frustrated that the last two orders I made were canceled and not by me!  I choose to have our orders come to my home because we are within a high school that does not give us our mail.,Uncategorized,Delayed/Never Received Order
5,Glad to see the shipping issues of the past seem to be fixed.,Uncategorized,Hopeful Shipping Improves This Year
4,Look forward to things returning back to normal after the supply chain issues and the pandemic.,Uncategorized,Hopeful Shipping Improves This Year
5,"I am hoping that orders will be delivered in a more timely fashion this year.  Last year, orders would take up to three weeks to process and parents were getting upset.  I am hoping there will be a faster turn around time this year.",Uncategorized,Hopeful Shipping Improves This Year
5,I am hoping that shipping is a lot more timely this year.  I quit ordering last year(after 31 years of book ordering) because of the shipping time.  (I was embarassed in front of my class),Uncategorized,Hopeful Shipping Improves This Year
4,"I had a lot of problems with orders last year and was very frustrated with Scholastic.  I had a shipment get lost, a shipment go to a school I haven't taught at for 8 years, and shipping delays like crazy.",Uncategorized,Hopeful Shipping Improves This Year
4,I hope the shipping issues are resolved.,Uncategorized,Hopeful Shipping Improves This Year
4,"Then we can just let the families know, and there is not this long wait time, like last year.",Uncategorized,Hopeful Shipping Improves This Year
4,I hope that the books do not take as long as last year to arrive!,Uncategorized,Hopeful Shipping Improves This Year
2, I really hope this isn't a repeat of last year when I waited from Sept. to the end of Nov. for my first book order....,Uncategorized,Hopeful Shipping Improves This Year
5,I know that last year you had difficulties that were outside your reach. But this year I've already placed one order and received it in record time. Keep up the great job.,Uncategorized,Hopeful Shipping Improves This Year
5,I know shipping was a nightmare during covid but I ordered many books last year for my class and parents and I both had an easy time doing so. The books eventually got to us :) I hope this year is a bit quicker with shipping.,Uncategorized,Hopeful Shipping Improves This Year
5,Hoping the delayed shipping issues of last year are no longer around! Kids always excited for books to arrive and the 6 weeks of last year was a bit long to wait!,Uncategorized,Hopeful Shipping Improves This Year
5,but I hope there are no delays like there were last year!,Uncategorized,Hopeful Shipping Improves This Year
4,We used to have a warehouse right in our community.  When it shut down last year the delay on getting books WAS HUGE!  I decided not to order last year.  I am going to try again and hope that parents get their orders sooner than later.,Uncategorized,Hopeful Shipping Improves This Year
4,I hope shipping timeline has improved to pre pandemic schedule.,Uncategorized,Hopeful Shipping Improves This Year
4,I am still a bit hesitant after last year's first order took over two months.  I shared with families this month but if orders do not come in within 2 weeks we will not send home to parents again.,Uncategorized,Hopeful Shipping Improves This Year
3,Last year I stopped ordering because it was a mess.  If it goes back to the previous year I would love to use it again.  I gave you scores based on last year.,Uncategorized,Hopeful Shipping Improves This Year
5, Had problems last year with delivery of books.  Hope it goes better this year.,Uncategorized,Hopeful Shipping Improves This Year
1,"After the multiple poor experiences I had last year, I am not participating in book orders in my classroom this year.",Uncategorized,Hopeful Shipping Improves This Year
5,Ordered 2 Lego Ninjago Activity book.  Mrs Gugg9sbergm sent only one home.  Sending note to teacher tomorrow.  Thanks,Uncategorized,Item Missing/Incorrect/Partial Order Received
3, that were both missing from the shipment.,Uncategorized,Item Missing/Incorrect/Partial Order Received
5,Came to check on student order that was shipped- wrong set of books was sent.,Uncategorized,Item Missing/Incorrect/Partial Order Received
4,One of my students did not get a book she ordered.,Uncategorized,Item Missing/Incorrect/Partial Order Received
5,"Wish entire book orders could arrive at the same time. I get partial orders for some kids, and it’s hard to send fulfilled orders home with just some kids, and partial orders with others. I try to keep partial orders until I have all their books, but have to refer to the order history online to see if their order is complete or if there are more coming.  Takes a bit more time to,cross check the orders.",Uncategorized,Item Missing/Incorrect/Partial Order Received
3,I was wondering if you ship to homes instead?,Uncategorized,Ship to Home
5,Do you still offer free shipping to home?,Uncategorized,Ship to Home
5,"Wish SBC would reinstate delivery to home, again.  It would make this book fairy's life easier, but I can work it out with the teachers.",Uncategorized,Ship to Home
